neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,split
L24_N7891,24,7891,contradictory_context,cc_0072,0.88671875,0.8984375,0.01171875,0.84765625,0.84375,working
L24_N7891,24,7891,contradictory_context,cc_0073,1.3359375,1.3203125,-0.015625,0.66015625,0.671875,working
L24_N7891,24,7891,contradictory_context,cc_0074,0.99609375,0.984375,-0.01171875,0.69140625,0.6953125,working
L24_N7891,24,7891,contradictory_context,cc_0075,0.79296875,0.79296875,0.0,0.7265625,0.7265625,working
L24_N7891,24,7891,contradictory_context,cc_0076,1.234375,1.234375,0.0,0.5703125,0.5703125,working
L24_N7891,24,7891,contradictory_context,cc_0077,2.34375,2.34375,0.0,0.33984375,0.34375,working
L24_N7891,24,7891,contradictory_context,cc_0078,1.40625,1.375,-0.03125,0.44921875,0.48046875,working
L24_N7891,24,7891,contradictory_context,cc_0079,0.3984375,0.4140625,0.015625,0.92578125,0.921875,working
L24_N7891,24,7891,contradictory_context,cc_0080,0.66796875,0.67578125,0.0078125,0.9140625,0.9140625,working
L24_N7891,24,7891,contradictory_context,cc_0081,1.0078125,1.0078125,0.0,0.67578125,0.67578125,working
L24_N7891,24,7891,contradictory_context,cc_0082,0.390625,0.390625,0.0,0.88671875,0.88671875,working
L24_N7891,24,7891,contradictory_context,cc_0083,0.2314453125,0.22265625,-0.0087890625,0.96484375,0.96484375,working
L30_N13513,30,13513,contradictory_context,cc_0000,1.046875,1.046875,0.0,0.578125,0.578125,working
L30_N13513,30,13513,contradictory_context,cc_0001,1.328125,1.328125,0.0,0.5625,0.5625,working
L30_N13513,30,13513,contradictory_context,cc_0002,1.203125,1.203125,0.0,0.73828125,0.73828125,working
L30_N13513,30,13513,contradictory_context,cc_0003,1.046875,1.046875,0.0,0.5234375,0.5234375,working
L30_N13513,30,13513,contradictory_context,cc_0004,0.625,0.62109375,-0.00390625,0.88671875,0.88671875,working
L30_N13513,30,13513,contradictory_context,cc_0005,1.0234375,1.0234375,0.0,0.74609375,0.74609375,working
L30_N13513,30,13513,contradictory_context,cc_0006,0.7734375,0.7734375,0.0,0.8359375,0.8359375,working
L30_N13513,30,13513,contradictory_context,cc_0007,2.59375,2.578125,-0.015625,0.255859375,0.255859375,working
L30_N13513,30,13513,contradictory_context,cc_0008,2.28125,2.28125,0.0,0.298828125,0.298828125,working
L30_N13513,30,13513,contradictory_context,cc_0009,0.4375,0.40234375,-0.03515625,0.91015625,0.91796875,working
L30_N13513,30,13513,contradictory_context,cc_0010,1.2109375,1.21875,0.0078125,0.7734375,0.7734375,working
L30_N13513,30,13513,contradictory_context,cc_0011,1.296875,1.296875,0.0,0.703125,0.703125,working
L30_N13513,30,13513,contradictory_context,cc_0012,1.046875,1.046875,0.0,0.80078125,0.80078125,working
L30_N13513,30,13513,contradictory_context,cc_0013,0.466796875,0.466796875,0.0,0.90625,0.90625,working
L30_N13513,30,13513,contradictory_context,cc_0014,0.50390625,0.48828125,-0.015625,0.8828125,0.890625,working
L30_N13513,30,13513,contradictory_context,cc_0015,1.9609375,1.90625,-0.0546875,0.408203125,0.4375,working
L30_N13513,30,13513,contradictory_context,cc_0016,1.5625,1.5703125,0.0078125,0.6484375,0.64453125,working
L30_N13513,30,13513,contradictory_context,cc_0017,1.6015625,1.6015625,0.0,0.349609375,0.349609375,working
L30_N13513,30,13513,contradictory_context,cc_0018,1.0,1.0,0.0,0.66796875,0.66796875,working
L30_N13513,30,13513,contradictory_context,cc_0019,1.0859375,1.0859375,0.0,0.6875,0.6875,working
L30_N13513,30,13513,contradictory_context,cc_0020,0.8125,0.7421875,-0.0703125,0.83984375,0.859375,working
L30_N13513,30,13513,contradictory_context,cc_0021,0.74609375,0.74609375,0.0,0.85546875,0.85546875,working
L30_N13513,30,13513,contradictory_context,cc_0022,1.5390625,1.5390625,0.0,0.63671875,0.63671875,working
L30_N13513,30,13513,contradictory_context,cc_0023,1.71875,1.671875,-0.046875,0.396484375,0.42578125,working
L30_N13513,30,13513,contradictory_context,cc_0024,0.75390625,0.7421875,-0.01171875,0.81640625,0.8203125,working
L30_N13513,30,13513,contradictory_context,cc_0025,1.421875,1.421875,0.0,0.47265625,0.47265625,working
L30_N13513,30,13513,contradictory_context,cc_0026,1.46875,1.4765625,0.0078125,0.65625,0.65625,working
L30_N13513,30,13513,contradictory_context,cc_0027,0.37109375,0.369140625,-0.001953125,0.9453125,0.9453125,working
L30_N13513,30,13513,contradictory_context,cc_0028,1.7734375,1.7734375,0.0,0.373046875,0.373046875,working
L30_N13513,30,13513,contradictory_context,cc_0029,1.1015625,1.1015625,0.0,0.515625,0.515625,working
L30_N13513,30,13513,contradictory_context,cc_0030,1.046875,1.046875,0.0,0.65625,0.65625,working
L30_N13513,30,13513,contradictory_context,cc_0031,1.578125,1.578125,0.0,0.458984375,0.458984375,working
L30_N13513,30,13513,contradictory_context,cc_0032,2.0625,2.0625,0.0,0.56640625,0.55859375,working
L30_N13513,30,13513,contradictory_context,cc_0033,0.8515625,0.84765625,-0.00390625,0.65625,0.65625,working
L30_N13513,30,13513,contradictory_context,cc_0034,0.1943359375,0.1943359375,0.0,0.97265625,0.97265625,working
L30_N13513,30,13513,contradictory_context,cc_0035,1.4296875,1.4296875,0.0,0.5546875,0.5546875,working
L30_N13513,30,13513,contradictory_context,cc_0036,1.7890625,1.8203125,0.03125,0.345703125,0.31640625,working
L30_N13513,30,13513,contradictory_context,cc_0037,0.8046875,0.8046875,0.0,0.6328125,0.6328125,working
L30_N13513,30,13513,contradictory_context,cc_0038,2.046875,2.046875,0.0,0.416015625,0.412109375,working
L30_N13513,30,13513,contradictory_context,cc_0039,0.84375,0.83984375,-0.00390625,0.84375,0.84375,working
L30_N13513,30,13513,contradictory_context,cc_0040,1.0546875,1.0703125,0.015625,0.474609375,0.443359375,working
L30_N13513,30,13513,contradictory_context,cc_0041,0.94140625,0.98828125,0.046875,0.69140625,0.6640625,working
L30_N13513,30,13513,contradictory_context,cc_0042,0.96875,0.96875,0.0,0.5078125,0.53515625,working
L30_N13513,30,13513,contradictory_context,cc_0043,0.61328125,0.61328125,0.0,0.8515625,0.8515625,working
L30_N13513,30,13513,contradictory_context,cc_0044,1.515625,1.515625,0.0,0.341796875,0.341796875,working
L30_N13513,30,13513,contradictory_context,cc_0045,1.2734375,1.2421875,-0.03125,0.474609375,0.484375,working
L30_N13513,30,13513,contradictory_context,cc_0046,0.8359375,0.8359375,0.0,0.68359375,0.68359375,working
L30_N13513,30,13513,contradictory_context,cc_0047,2.6875,2.6875,0.0,0.322265625,0.322265625,working
L30_N13513,30,13513,contradictory_context,cc_0048,1.1171875,1.1171875,0.0,0.65625,0.65625,working
L30_N13513,30,13513,contradictory_context,cc_0049,1.0234375,1.0234375,0.0,0.66796875,0.66796875,working
L30_N13513,30,13513,contradictory_context,cc_0050,1.078125,1.078125,0.0,0.7890625,0.7890625,working
L30_N13513,30,13513,contradictory_context,cc_0051,0.79296875,0.79296875,0.0,0.8203125,0.8203125,working
L30_N13513,30,13513,contradictory_context,cc_0052,0.5625,0.5625,0.0,0.875,0.875,working
L30_N13513,30,13513,contradictory_context,cc_0053,0.84375,0.83203125,-0.01171875,0.83984375,0.84375,working
L30_N13513,30,13513,contradictory_context,cc_0054,1.1640625,1.171875,0.0078125,0.51953125,0.546875,working
L30_N13513,30,13513,contradictory_context,cc_0055,1.890625,1.890625,0.0,0.50390625,0.50390625,working
L30_N13513,30,13513,contradictory_context,cc_0056,0.5390625,0.58984375,0.05078125,0.89453125,0.8828125,working
L30_N13513,30,13513,contradictory_context,cc_0057,1.796875,1.796875,0.0,0.6171875,0.6171875,working
L30_N13513,30,13513,contradictory_context,cc_0058,0.345703125,0.345703125,0.0,0.94140625,0.94140625,working
L30_N13513,30,13513,contradictory_context,cc_0059,2.015625,2.0,-0.015625,0.42578125,0.416015625,working
L30_N13513,30,13513,contradictory_context,cc_0060,1.2734375,1.2734375,0.0,0.72265625,0.72265625,working
L30_N13513,30,13513,contradictory_context,cc_0061,0.8515625,0.8515625,0.0,0.8515625,0.8515625,working
L30_N13513,30,13513,contradictory_context,cc_0062,0.90234375,0.90234375,0.0,0.71484375,0.71484375,working
L30_N13513,30,13513,contradictory_context,cc_0063,0.84375,0.84375,0.0,0.828125,0.828125,working
L30_N13513,30,13513,contradictory_context,cc_0064,0.484375,0.484375,0.0,0.9140625,0.9140625,working
L30_N13513,30,13513,contradictory_context,cc_0065,0.890625,0.890625,0.0,0.6171875,0.6171875,working
L30_N13513,30,13513,contradictory_context,cc_0066,0.734375,0.73828125,0.00390625,0.85546875,0.85546875,working
L30_N13513,30,13513,contradictory_context,cc_0067,0.74609375,0.74609375,0.0,0.52734375,0.52734375,working
L30_N13513,30,13513,contradictory_context,cc_0068,1.203125,1.203125,0.0,0.546875,0.546875,working
L30_N13513,30,13513,contradictory_context,cc_0069,0.953125,0.953125,0.0,0.7890625,0.7890625,working
L30_N13513,30,13513,contradictory_context,cc_0070,1.7265625,1.734375,0.0078125,0.349609375,0.359375,working
L30_N13513,30,13513,contradictory_context,cc_0071,1.6875,1.6953125,0.0078125,0.63671875,0.63671875,working
L30_N13513,30,13513,contradictory_context,cc_0072,0.88671875,0.96875,0.08203125,0.84765625,0.828125,working
L30_N13513,30,13513,contradictory_context,cc_0073,1.3359375,1.3359375,0.0,0.66015625,0.66015625,working
L30_N13513,30,13513,contradictory_context,cc_0074,0.99609375,1.0,0.00390625,0.69140625,0.69140625,working
L30_N13513,30,13513,contradictory_context,cc_0075,0.79296875,0.796875,0.00390625,0.7265625,0.7265625,working
L30_N13513,30,13513,contradictory_context,cc_0076,1.234375,1.234375,0.0,0.5703125,0.5703125,working
L30_N13513,30,13513,contradictory_context,cc_0077,2.34375,2.34375,0.0,0.33984375,0.33984375,working
L30_N13513,30,13513,contradictory_context,cc_0078,1.40625,1.40625,0.0,0.44921875,0.44921875,working
L30_N13513,30,13513,contradictory_context,cc_0079,0.3984375,0.3984375,0.0,0.92578125,0.92578125,working
L30_N13513,30,13513,contradictory_context,cc_0080,0.66796875,0.671875,0.00390625,0.9140625,0.9140625,working
L30_N13513,30,13513,contradictory_context,cc_0081,1.0078125,1.0078125,0.0,0.67578125,0.67578125,working
L30_N13513,30,13513,contradictory_context,cc_0082,0.390625,0.390625,0.0,0.88671875,0.88671875,working
L30_N13513,30,13513,contradictory_context,cc_0083,0.2314453125,0.2314453125,0.0,0.96484375,0.96484375,working
L30_N6621,30,6621,contradictory_context,cc_0000,1.046875,1.046875,0.0,0.578125,0.578125,working
L30_N6621,30,6621,contradictory_context,cc_0001,1.328125,1.3125,-0.015625,0.5625,0.578125,working
L30_N6621,30,6621,contradictory_context,cc_0002,1.203125,1.15625,-0.046875,0.73828125,0.7578125,working
L30_N6621,30,6621,contradictory_context,cc_0003,1.046875,1.0546875,0.0078125,0.5234375,0.546875,working
L30_N6621,30,6621,contradictory_context,cc_0004,0.625,0.5859375,-0.0390625,0.88671875,0.89453125,working
L30_N6621,30,6621,contradictory_context,cc_0005,1.0234375,0.98828125,-0.03515625,0.74609375,0.765625,working
L30_N6621,30,6621,contradictory_context,cc_0006,0.7734375,0.8046875,0.03125,0.8359375,0.828125,working
L30_N6621,30,6621,contradictory_context,cc_0007,2.59375,2.578125,-0.015625,0.255859375,0.2578125,working
L30_N6621,30,6621,contradictory_context,cc_0008,2.28125,2.265625,-0.015625,0.298828125,0.30078125,working
L30_N6621,30,6621,contradictory_context,cc_0009,0.4375,0.431640625,-0.005859375,0.91015625,0.91015625,working
L30_N6621,30,6621,contradictory_context,cc_0010,1.2109375,1.21875,0.0078125,0.7734375,0.7734375,working
L30_N6621,30,6621,contradictory_context,cc_0011,1.296875,1.28125,-0.015625,0.703125,0.70703125,working
L30_N6621,30,6621,contradictory_context,cc_0012,1.046875,1.0859375,0.0390625,0.80078125,0.7890625,working
L30_N6621,30,6621,contradictory_context,cc_0013,0.466796875,0.46484375,-0.001953125,0.90625,0.90625,working
L30_N6621,30,6621,contradictory_context,cc_0014,0.50390625,0.470703125,-0.033203125,0.8828125,0.89453125,working
L30_N6621,30,6621,contradictory_context,cc_0015,1.9609375,1.9453125,-0.015625,0.408203125,0.41015625,working
L30_N6621,30,6621,contradictory_context,cc_0016,1.5625,1.5390625,-0.0234375,0.6484375,0.65234375,working
L30_N6621,30,6621,contradictory_context,cc_0017,1.6015625,1.59375,-0.0078125,0.349609375,0.349609375,working
L30_N6621,30,6621,contradictory_context,cc_0018,1.0,1.03125,0.03125,0.66796875,0.64453125,working
L30_N6621,30,6621,contradictory_context,cc_0019,1.0859375,1.09375,0.0078125,0.6875,0.6875,working
L30_N6621,30,6621,contradictory_context,cc_0020,0.8125,0.78515625,-0.02734375,0.83984375,0.84765625,working
L30_N6621,30,6621,contradictory_context,cc_0021,0.74609375,0.72265625,-0.0234375,0.85546875,0.859375,working
L30_N6621,30,6621,contradictory_context,cc_0022,1.5390625,1.53125,-0.0078125,0.63671875,0.63671875,working
L30_N6621,30,6621,contradictory_context,cc_0023,1.71875,1.71875,0.0,0.396484375,0.419921875,working
L30_N6621,30,6621,contradictory_context,cc_0024,0.75390625,0.7578125,0.00390625,0.81640625,0.81640625,working
L30_N6621,30,6621,contradictory_context,cc_0025,1.421875,1.4140625,-0.0078125,0.47265625,0.453125,working
L30_N6621,30,6621,contradictory_context,cc_0026,1.46875,1.4296875,-0.0390625,0.65625,0.67578125,working
L30_N6621,30,6621,contradictory_context,cc_0027,0.37109375,0.361328125,-0.009765625,0.9453125,0.94921875,working
L30_N6621,30,6621,contradictory_context,cc_0028,1.7734375,1.7578125,-0.015625,0.373046875,0.375,working
L30_N6621,30,6621,contradictory_context,cc_0029,1.1015625,1.09375,-0.0078125,0.515625,0.51953125,working
L30_N6621,30,6621,contradictory_context,cc_0030,1.046875,1.0625,0.015625,0.65625,0.65234375,working
L30_N6621,30,6621,contradictory_context,cc_0031,1.578125,1.5546875,-0.0234375,0.458984375,0.462890625,working
L30_N6621,30,6621,contradictory_context,cc_0032,2.0625,2.0625,0.0,0.56640625,0.5546875,working
L30_N6621,30,6621,contradictory_context,cc_0033,0.8515625,0.83203125,-0.01953125,0.65625,0.6796875,working
L30_N6621,30,6621,contradictory_context,cc_0034,0.1943359375,0.1943359375,0.0,0.97265625,0.97265625,working
L30_N6621,30,6621,contradictory_context,cc_0035,1.4296875,1.46875,0.0390625,0.5546875,0.5234375,working
L30_N6621,30,6621,contradictory_context,cc_0036,1.7890625,1.8125,0.0234375,0.345703125,0.318359375,working
L30_N6621,30,6621,contradictory_context,cc_0037,0.8046875,0.82421875,0.01953125,0.6328125,0.60546875,working
L30_N6621,30,6621,contradictory_context,cc_0038,2.046875,2.0625,0.015625,0.416015625,0.390625,working
L30_N6621,30,6621,contradictory_context,cc_0039,0.84375,0.8359375,-0.0078125,0.84375,0.84375,working
L30_N6621,30,6621,contradictory_context,cc_0040,1.0546875,1.0703125,0.015625,0.474609375,0.47265625,working
L30_N6621,30,6621,contradictory_context,cc_0041,0.94140625,0.9609375,0.01953125,0.69140625,0.6875,working
L30_N6621,30,6621,contradictory_context,cc_0042,0.96875,0.94921875,-0.01953125,0.5078125,0.5390625,working
L30_N6621,30,6621,contradictory_context,cc_0043,0.61328125,0.57421875,-0.0390625,0.8515625,0.86328125,working
L30_N6621,30,6621,contradictory_context,cc_0044,1.515625,1.5234375,0.0078125,0.341796875,0.353515625,working
L30_N6621,30,6621,contradictory_context,cc_0045,1.2734375,1.265625,-0.0078125,0.474609375,0.474609375,working
L30_N6621,30,6621,contradictory_context,cc_0046,0.8359375,0.86328125,0.02734375,0.68359375,0.65625,working
L30_N6621,30,6621,contradictory_context,cc_0047,2.6875,2.671875,-0.015625,0.322265625,0.322265625,working
L30_N6621,30,6621,contradictory_context,cc_0048,1.1171875,1.0859375,-0.03125,0.65625,0.671875,working
L30_N6621,30,6621,contradictory_context,cc_0049,1.0234375,1.0234375,0.0,0.66796875,0.66796875,working
L30_N6621,30,6621,contradictory_context,cc_0050,1.078125,1.03125,-0.046875,0.7890625,0.80078125,working
L30_N6621,30,6621,contradictory_context,cc_0051,0.79296875,0.7265625,-0.06640625,0.8203125,0.83984375,working
L30_N6621,30,6621,contradictory_context,cc_0052,0.5625,0.5625,0.0,0.875,0.875,working
L30_N6621,30,6621,contradictory_context,cc_0053,0.84375,0.82421875,-0.01953125,0.83984375,0.84375,working
L30_N6621,30,6621,contradictory_context,cc_0054,1.1640625,1.1640625,0.0,0.51953125,0.546875,working
L30_N6621,30,6621,contradictory_context,cc_0055,1.890625,1.9296875,0.0390625,0.50390625,0.482421875,working
L30_N6621,30,6621,contradictory_context,cc_0056,0.5390625,0.57421875,0.03515625,0.89453125,0.88671875,working
L30_N6621,30,6621,contradictory_context,cc_0057,1.796875,1.78125,-0.015625,0.6171875,0.6171875,working
L30_N6621,30,6621,contradictory_context,cc_0058,0.345703125,0.34765625,0.001953125,0.94140625,0.94140625,working
L30_N6621,30,6621,contradictory_context,cc_0059,2.015625,2.015625,0.0,0.42578125,0.42578125,working
L30_N6621,30,6621,contradictory_context,cc_0060,1.2734375,1.234375,-0.0390625,0.72265625,0.73046875,working
L30_N6621,30,6621,contradictory_context,cc_0061,0.8515625,0.8359375,-0.015625,0.8515625,0.85546875,working
L30_N6621,30,6621,contradictory_context,cc_0062,0.90234375,0.86328125,-0.0390625,0.71484375,0.73828125,working
L30_N6621,30,6621,contradictory_context,cc_0063,0.84375,0.91015625,0.06640625,0.828125,0.80859375,working
L30_N6621,30,6621,contradictory_context,cc_0064,0.484375,0.455078125,-0.029296875,0.9140625,0.921875,working
L30_N6621,30,6621,contradictory_context,cc_0065,0.890625,0.921875,0.03125,0.6171875,0.5859375,working
L30_N6621,30,6621,contradictory_context,cc_0066,0.734375,0.734375,0.0,0.85546875,0.85546875,working
L30_N6621,30,6621,contradictory_context,cc_0067,0.74609375,0.75,0.00390625,0.52734375,0.49609375,working
L30_N6621,30,6621,contradictory_context,cc_0068,1.203125,1.1875,-0.015625,0.546875,0.546875,working
L30_N6621,30,6621,contradictory_context,cc_0069,0.953125,0.94921875,-0.00390625,0.7890625,0.7890625,working
L30_N6621,30,6621,contradictory_context,cc_0070,1.7265625,1.7265625,0.0,0.349609375,0.373046875,working
L30_N6621,30,6621,contradictory_context,cc_0071,1.6875,1.765625,0.078125,0.63671875,0.6171875,working
L30_N6621,30,6621,contradictory_context,cc_0072,0.88671875,0.953125,0.06640625,0.84765625,0.83203125,working
L30_N6621,30,6621,contradictory_context,cc_0073,1.3359375,1.3828125,0.046875,0.66015625,0.64453125,working
L30_N6621,30,6621,contradictory_context,cc_0074,0.99609375,0.96484375,-0.03125,0.69140625,0.71484375,working
L30_N6621,30,6621,contradictory_context,cc_0075,0.79296875,0.76171875,-0.03125,0.7265625,0.75,working
L30_N6621,30,6621,contradictory_context,cc_0076,1.234375,1.25,0.015625,0.5703125,0.5703125,working
L30_N6621,30,6621,contradictory_context,cc_0077,2.34375,2.3125,-0.03125,0.33984375,0.34375,working
L30_N6621,30,6621,contradictory_context,cc_0078,1.40625,1.4140625,0.0078125,0.44921875,0.470703125,working
L30_N6621,30,6621,contradictory_context,cc_0079,0.3984375,0.39453125,-0.00390625,0.92578125,0.9296875,working
L30_N6621,30,6621,contradictory_context,cc_0080,0.66796875,0.66015625,-0.0078125,0.9140625,0.9140625,working
L30_N6621,30,6621,contradictory_context,cc_0081,1.0078125,0.97265625,-0.03515625,0.67578125,0.703125,working
L30_N6621,30,6621,contradictory_context,cc_0082,0.390625,0.390625,0.0,0.88671875,0.88671875,working
L30_N6621,30,6621,contradictory_context,cc_0083,0.2314453125,0.21875,-0.0126953125,0.96484375,0.96484375,working
L30_N3533,30,3533,contradictory_context,cc_0000,1.046875,1.046875,0.0,0.578125,0.578125,working
L30_N3533,30,3533,contradictory_context,cc_0001,1.328125,1.328125,0.0,0.5625,0.5625,working
L30_N3533,30,3533,contradictory_context,cc_0002,1.203125,1.203125,0.0,0.73828125,0.73828125,working
L30_N3533,30,3533,contradictory_context,cc_0003,1.046875,1.0546875,0.0078125,0.5234375,0.5234375,working
L30_N3533,30,3533,contradictory_context,cc_0004,0.625,0.62109375,-0.00390625,0.88671875,0.88671875,working
L30_N3533,30,3533,contradictory_context,cc_0005,1.0234375,1.0234375,0.0,0.74609375,0.74609375,working
L30_N3533,30,3533,contradictory_context,cc_0006,0.7734375,0.7734375,0.0,0.8359375,0.8359375,working
L30_N3533,30,3533,contradictory_context,cc_0007,2.59375,2.59375,0.0,0.255859375,0.255859375,working
L30_N3533,30,3533,contradictory_context,cc_0008,2.28125,2.296875,0.015625,0.298828125,0.298828125,working
L30_N3533,30,3533,contradictory_context,cc_0009,0.4375,0.431640625,-0.005859375,0.91015625,0.91015625,working
L30_N3533,30,3533,contradictory_context,cc_0010,1.2109375,1.2265625,0.015625,0.7734375,0.76953125,working
L30_N3533,30,3533,contradictory_context,cc_0011,1.296875,1.2890625,-0.0078125,0.703125,0.703125,working
L30_N3533,30,3533,contradictory_context,cc_0012,1.046875,1.046875,0.0,0.80078125,0.80078125,working
L30_N3533,30,3533,contradictory_context,cc_0013,0.466796875,0.466796875,0.0,0.90625,0.90625,working
L30_N3533,30,3533,contradictory_context,cc_0014,0.50390625,0.498046875,-0.005859375,0.8828125,0.88671875,working
L30_N3533,30,3533,contradictory_context,cc_0015,1.9609375,1.90625,-0.0546875,0.408203125,0.4375,working
L30_N3533,30,3533,contradictory_context,cc_0016,1.5625,1.5625,0.0,0.6484375,0.6484375,working
L30_N3533,30,3533,contradictory_context,cc_0017,1.6015625,1.59375,-0.0078125,0.349609375,0.349609375,working
L30_N3533,30,3533,contradictory_context,cc_0018,1.0,1.0,0.0,0.66796875,0.66796875,working
L30_N3533,30,3533,contradictory_context,cc_0019,1.0859375,1.0859375,0.0,0.6875,0.6875,working
L30_N3533,30,3533,contradictory_context,cc_0020,0.8125,0.74609375,-0.06640625,0.83984375,0.85546875,working
L30_N3533,30,3533,contradictory_context,cc_0021,0.74609375,0.74609375,0.0,0.85546875,0.85546875,working
L30_N3533,30,3533,contradictory_context,cc_0022,1.5390625,1.5390625,0.0,0.63671875,0.63671875,working
L30_N3533,30,3533,contradictory_context,cc_0023,1.71875,1.71875,0.0,0.396484375,0.396484375,working
L30_N3533,30,3533,contradictory_context,cc_0024,0.75390625,0.7421875,-0.01171875,0.81640625,0.8203125,working
L30_N3533,30,3533,contradictory_context,cc_0025,1.421875,1.421875,0.0,0.47265625,0.474609375,working
L30_N3533,30,3533,contradictory_context,cc_0026,1.46875,1.46875,0.0,0.65625,0.65625,working
L30_N3533,30,3533,contradictory_context,cc_0027,0.37109375,0.37109375,0.0,0.9453125,0.9453125,working
L30_N3533,30,3533,contradictory_context,cc_0028,1.7734375,1.7734375,0.0,0.373046875,0.373046875,working
L30_N3533,30,3533,contradictory_context,cc_0029,1.1015625,1.1015625,0.0,0.515625,0.515625,working
L30_N3533,30,3533,contradictory_context,cc_0030,1.046875,1.046875,0.0,0.65625,0.65625,working
L30_N3533,30,3533,contradictory_context,cc_0031,1.578125,1.5703125,-0.0078125,0.458984375,0.458984375,working
L30_N3533,30,3533,contradictory_context,cc_0032,2.0625,2.078125,0.015625,0.56640625,0.5546875,working
L30_N3533,30,3533,contradictory_context,cc_0033,0.8515625,0.8515625,0.0,0.65625,0.65625,working
L30_N3533,30,3533,contradictory_context,cc_0034,0.1943359375,0.1953125,0.0009765625,0.97265625,0.97265625,working
L30_N3533,30,3533,contradictory_context,cc_0035,1.4296875,1.4296875,0.0,0.5546875,0.5546875,working
L30_N3533,30,3533,contradictory_context,cc_0036,1.7890625,1.8203125,0.03125,0.345703125,0.31640625,working
L30_N3533,30,3533,contradictory_context,cc_0037,0.8046875,0.8046875,0.0,0.6328125,0.6328125,working
L30_N3533,30,3533,contradictory_context,cc_0038,2.046875,2.046875,0.0,0.416015625,0.412109375,working
L30_N3533,30,3533,contradictory_context,cc_0039,0.84375,0.84375,0.0,0.84375,0.84375,working
L30_N3533,30,3533,contradictory_context,cc_0040,1.0546875,1.0625,0.0078125,0.474609375,0.498046875,working
L30_N3533,30,3533,contradictory_context,cc_0041,0.94140625,0.98828125,0.046875,0.69140625,0.6640625,working
L30_N3533,30,3533,contradictory_context,cc_0042,0.96875,0.96484375,-0.00390625,0.5078125,0.53515625,working
L30_N3533,30,3533,contradictory_context,cc_0043,0.61328125,0.609375,-0.00390625,0.8515625,0.8515625,working
L30_N3533,30,3533,contradictory_context,cc_0044,1.515625,1.515625,0.0,0.341796875,0.341796875,working
L30_N3533,30,3533,contradictory_context,cc_0045,1.2734375,1.28125,0.0078125,0.474609375,0.47265625,working
L30_N3533,30,3533,contradictory_context,cc_0046,0.8359375,0.8359375,0.0,0.68359375,0.68359375,working
L30_N3533,30,3533,contradictory_context,cc_0047,2.6875,2.671875,-0.015625,0.322265625,0.314453125,working
L30_N3533,30,3533,contradictory_context,cc_0048,1.1171875,1.1171875,0.0,0.65625,0.65625,working
L30_N3533,30,3533,contradictory_context,cc_0049,1.0234375,1.0234375,0.0,0.66796875,0.66796875,working
L30_N3533,30,3533,contradictory_context,cc_0050,1.078125,1.09375,0.015625,0.7890625,0.78125,working
L30_N3533,30,3533,contradictory_context,cc_0051,0.79296875,0.79296875,0.0,0.8203125,0.8203125,working
L30_N3533,30,3533,contradictory_context,cc_0052,0.5625,0.5625,0.0,0.875,0.875,working
L30_N3533,30,3533,contradictory_context,cc_0053,0.84375,0.84765625,0.00390625,0.83984375,0.83984375,working
L30_N3533,30,3533,contradictory_context,cc_0054,1.1640625,1.171875,0.0078125,0.51953125,0.546875,working
L30_N3533,30,3533,contradictory_context,cc_0055,1.890625,1.890625,0.0,0.50390625,0.50390625,working
L30_N3533,30,3533,contradictory_context,cc_0056,0.5390625,0.54296875,0.00390625,0.89453125,0.89453125,working
L30_N3533,30,3533,contradictory_context,cc_0057,1.796875,1.7890625,-0.0078125,0.6171875,0.6171875,working
L30_N3533,30,3533,contradictory_context,cc_0058,0.345703125,0.345703125,0.0,0.94140625,0.94140625,working
L30_N3533,30,3533,contradictory_context,cc_0059,2.015625,2.0,-0.015625,0.42578125,0.416015625,working
L30_N3533,30,3533,contradictory_context,cc_0060,1.2734375,1.2734375,0.0,0.72265625,0.72265625,working
L30_N3533,30,3533,contradictory_context,cc_0061,0.8515625,0.85546875,0.00390625,0.8515625,0.8515625,working
L30_N3533,30,3533,contradictory_context,cc_0062,0.90234375,0.90234375,0.0,0.71484375,0.71484375,working
L30_N3533,30,3533,contradictory_context,cc_0063,0.84375,0.84375,0.0,0.828125,0.828125,working
L30_N3533,30,3533,contradictory_context,cc_0064,0.484375,0.484375,0.0,0.9140625,0.9140625,working
L30_N3533,30,3533,contradictory_context,cc_0065,0.890625,0.890625,0.0,0.6171875,0.6171875,working
L30_N3533,30,3533,contradictory_context,cc_0066,0.734375,0.734375,0.0,0.85546875,0.85546875,working
L30_N3533,30,3533,contradictory_context,cc_0067,0.74609375,0.75390625,0.0078125,0.52734375,0.49609375,working
L30_N3533,30,3533,contradictory_context,cc_0068,1.203125,1.203125,0.0,0.546875,0.546875,working
L30_N3533,30,3533,contradictory_context,cc_0069,0.953125,0.96484375,0.01171875,0.7890625,0.78515625,working
L30_N3533,30,3533,contradictory_context,cc_0070,1.7265625,1.734375,0.0078125,0.349609375,0.349609375,working
L30_N3533,30,3533,contradictory_context,cc_0071,1.6875,1.6953125,0.0078125,0.63671875,0.63671875,working
L30_N3533,30,3533,contradictory_context,cc_0072,0.88671875,0.88671875,0.0,0.84765625,0.84765625,working
L30_N3533,30,3533,contradictory_context,cc_0073,1.3359375,1.3203125,-0.015625,0.66015625,0.671875,working
